Index,N_total,Pearson_all,p_all,RollWin,r_roll_mean,r_roll_median,r_roll_pos_share
CAC 40,101,0.098,0.33,21,0.039,0.055,0.475
Shanghai Composite,120,0.087,0.347,21,0.023,0.035,0.492
BSE Sensex,100,0.077,0.449,21,0.056,0.034,0.45
Nasdaq Composite,111,0.06,0.535,21,0.089,0.102,0.495
Dow Jones,118,0.054,0.56,21,-0.028,-0.077,0.381
S&P 500,120,0.031,0.735,21,0.071,0.036,0.542
FTSE 100,94,0.03,0.772,21,0.049,0.008,0.415
Nikkei 225,108,0.028,0.774,21,0.041,0.024,0.565
Russell 2000,113,0.004,0.966,21,-0.036,-0.017,0.381
TSX,117,-0.009,0.919,21,0.019,-0.027,0.35
Euro Stoxx 50,107,-0.02,0.837,21,0.059,0.072,0.561
S&P/TSX Composite,102,-0.035,0.725,21,-0.029,-0.043,0.324
KOSPI,107,-0.055,0.572,21,-0.046,-0.056,0.336
Hang Seng,119,-0.065,0.48,21,-0.159,-0.189,0.151
IBOVESPA,105,-0.072,0.465,21,-0.053,-0.068,0.267
ASX 200,99,-0.101,0.32,21,-0.081,-0.1,0.293
NSE Nifty,104,-0.147,0.138,21,-0.145,-0.157,0.24
DAX,103,-0.223,0.0239,21,-0.157,-0.212,0.165
